127.0.0.1, 2015-10-26 21:41:16, GET, /, HTTP/1.1, 500, 0.142007
127.0.0.1, 2015-10-26 21:41:16, GET, /, HTTP/1.1, 500, 0.137761
127.0.0.1, 2015-10-26 21:41:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000300
127.0.0.1, 2015-10-26 21:41:16, GET, /, HTTP/1.1, 500, 0.096884
127.0.0.1, 2015-10-26 21:41:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000184
127.0.0.1, 2015-10-26 21:41:17, GET, /, HTTP/1.1, 500, 0.139611
127.0.0.1, 2015-10-26 21:41:17, GET, /, HTTP/1.1, 500, 0.082985
127.0.0.1, 2015-10-26 21:41:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000329
127.0.0.1, 2015-10-26 21:41:18, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-41-16.be0bb158-97e2-487d-b600-d87fe0804905, HTTP/1.1, 200, 0.057252
127.0.0.1, 2015-10-26 21:41:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000198
127.0.0.1, 2015-10-26 21:41:27, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-41-16.be0bb158-97e2-487d-b600-d87fe0804905, HTTP/1.1, 200, 0.063596
127.0.0.1, 2015-10-26 21:41:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000183
127.0.0.1, 2015-10-26 21:41:43, GET, /, HTTP/1.1, 500, 0.049908
127.0.0.1, 2015-10-26 21:41:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000296
127.0.0.1, 2015-10-26 21:41:43, GET, /, HTTP/1.1, 500, 0.045534
127.0.0.1, 2015-10-26 21:41:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000324
127.0.0.1, 2015-10-26 21:41:45, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-41-43.2d73279e-d514-4c8a-8763-ee946fa4ef71, HTTP/1.1, 200, 0.083602
127.0.0.1, 2015-10-26 21:41:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000184
127.0.0.1, 2015-10-26 21:42:09, GET, /, HTTP/1.1, 500, 0.032130
127.0.0.1, 2015-10-26 21:42:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000300
127.0.0.1, 2015-10-26 21:42:11, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-42-09.5945f6b5-cb20-42f1-ad83-46a534434900, HTTP/1.1, 200, 0.051946
127.0.0.1, 2015-10-26 21:42:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000299
127.0.0.1, 2015-10-26 21:42:31, GET, /, HTTP/1.1, 500, 0.049140
127.0.0.1, 2015-10-26 21:42:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000334
127.0.0.1, 2015-10-26 21:42:33, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-42-31.20a61e4e-eac4-4d20-a730-8aefe7d1483c, HTTP/1.1, 200, 0.063447
127.0.0.1, 2015-10-26 21:42:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000186
127.0.0.1, 2015-10-26 21:43:38, GET, /, HTTP/1.1, 500, 0.043099
127.0.0.1, 2015-10-26 21:43:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000325
127.0.0.1, 2015-10-26 21:43:40, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-43-38.c14e6d9d-e1f4-4e80-98e9-3a5585ec7c8e, HTTP/1.1, 200, 0.053367
127.0.0.1, 2015-10-26 21:43:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000255
127.0.0.1, 2015-10-26 21:44:09, GET, /, HTTP/1.1, 500, 0.041687
127.0.0.1, 2015-10-26 21:44:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000327
127.0.0.1, 2015-10-26 21:44:11, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-44-09.054d54bc-c612-47e9-a27d-a9e48c7484e2, HTTP/1.1, 200, 0.057334
127.0.0.1, 2015-10-26 21:44:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000369
127.0.0.1, 2015-10-26 21:44:41, GET, /, HTTP/1.1, 500, 0.024093
127.0.0.1, 2015-10-26 21:44:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000296
127.0.0.1, 2015-10-26 21:44:42, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-44-41.03d85cd8-d82c-41d0-badf-6e798c31a28d, HTTP/1.1, 200, 0.064877
127.0.0.1, 2015-10-26 21:44:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000623
127.0.0.1, 2015-10-26 21:45:24, GET, /, HTTP/1.1, 500, 0.053731
127.0.0.1, 2015-10-26 21:45:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000344
127.0.0.1, 2015-10-26 21:45:26, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-45-24.9f223738-0df2-46ed-8948-8e439c931e33, HTTP/1.1, 200, 0.045617
127.0.0.1, 2015-10-26 21:45:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000213
127.0.0.1, 2015-10-26 21:46:43, GET, /, HTTP/1.1, 500, 0.043761
127.0.0.1, 2015-10-26 21:46:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000285
127.0.0.1, 2015-10-26 21:46:44, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-46-43.63640341-a3f4-4920-9135-a9ae8f384367, HTTP/1.1, 200, 0.050017
127.0.0.1, 2015-10-26 21:46:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000195
127.0.0.1, 2015-10-26 21:47:14, GET, /, HTTP/1.1, 500, 0.029708
127.0.0.1, 2015-10-26 21:47:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000348
127.0.0.1, 2015-10-26 21:47:15, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-47-14.c171c7da-d7c2-4430-ac79-4d65a69404ae, HTTP/1.1, 200, 0.065159
127.0.0.1, 2015-10-26 21:47:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000687
127.0.0.1, 2015-10-26 21:47:51, GET, /, HTTP/1.1, 500, 0.038644
127.0.0.1, 2015-10-26 21:47:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000286
127.0.0.1, 2015-10-26 21:47:53, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-47-51.431cfd5d-d5d7-4178-a3ed-63a21d2df222, HTTP/1.1, 200, 0.051621
